White-assistant_coaches,98
White-ceo_pres,27
White-coaches,19
White-gm,25
White-players,91
White-staff,1192
White-team_management,283
White-vp,192.0
White-league_office,484
AfricanAmerican-assistant_coaches,40
AfricanAmerican-ceo_pres,3
AfricanAmerican-coaches,11
AfricanAmerican-gm,5
AfricanAmerican-players,311
AfricanAmerican-staff,222
AfricanAmerican-team_management,42
AfricanAmerican-vp,19.0
AfricanAmerican-league_office,129
Latino-assistant_coaches,0
Latino-ceo_pres,0
Latino-coaches,0
Latino-gm,0
Latino-players,5
Latino-staff,108
Latino-team_management,4
Latino-vp,7.0
Latino-league_office,39
Asian-assistant_coaches,0
Asian-ceo_pres,0
Asian-coaches,0
Asian-gm,0
Asian-players,3
Asian-staff,30
Asian-team_management,4
Asian-vp,0.0
Asian-league_office,33
Other-assistant_coaches,0
Other-ceo_pres,0
Other-coaches,0
Other-gm,0
Other-players,0
Other-staff,9
Other-team_management,0
Other-vp,0.0
Other-league_office,0
International-players,68
