White-assistant_coaches,87
White-ceo_pres,56
White-coaches,20
White-gm,22
White-owners,39
White-players,75
White-staff,667
White-team_management,447
White-vp,268.0
White-league_office,472
AfricanAmerican-assistant_coaches,66
AfricanAmerican-ceo_pres,7
AfricanAmerican-coaches,9
AfricanAmerican-gm,7
AfricanAmerican-owners,0
AfricanAmerican-players,348
AfricanAmerican-staff,147
AfricanAmerican-team_management,82
AfricanAmerican-vp,32.0
AfricanAmerican-league_office,130
Latino-assistant_coaches,1
Latino-ceo_pres,0
Latino-coaches,0
Latino-gm,0
Latino-owners,1
Latino-players,20
Latino-staff,77
Latino-team_management,35
Latino-vp,8.0
Latino-league_office,52
Asian-assistant_coaches,1
Asian-ceo_pres,0
Asian-coaches,1
Asian-gm,1
Asian-owners,0
Asian-players,3
Asian-staff,22
Asian-team_management,6
Asian-vp,3.0
Asian-league_office,60
Other-assistant_coaches,1
Other-ceo_pres,0
Other-coaches,0
Other-gm,0
Other-owners,0
Other-players,2
Other-staff,7
Other-team_management,1
Other-vp,0.0
Other-league_office,1
International-players,76
