White-assistant_coaches,80
White-ceo_pres,47
White-coaches,17
White-gm,23
White-owners,34
White-players,89
White-staff,1931
White-team_management,584
White-vp,302.0
White-league_office,481
AfricanAmerican-assistant_coaches,69
AfricanAmerican-ceo_pres,7
AfricanAmerican-coaches,12
AfricanAmerican-gm,6
AfricanAmerican-owners,1
AfricanAmerican-players,351
AfricanAmerican-staff,404
AfricanAmerican-team_management,99
AfricanAmerican-vp,36.0
AfricanAmerican-league_office,133
Latino-assistant_coaches,1
Latino-ceo_pres,0
Latino-coaches,0
Latino-gm,0
Latino-owners,0
Latino-players,14
Latino-staff,158
Latino-team_management,26
Latino-vp,7.0
Latino-league_office,52
Asian-assistant_coaches,0
Asian-ceo_pres,0
Asian-coaches,1
Asian-gm,1
Asian-owners,1
Asian-players,1
Asian-staff,72
Asian-team_management,10
Asian-vp,2.0
Asian-league_office,73
Other-assistant_coaches,0
Other-ceo_pres,0
Other-coaches,0
Other-gm,0
Other-owners,0
Other-players,1
Other-staff,33
Other-team_management,4
Other-vp,2.0
Other-league_office,2
International-players,94
