White-assistant_coaches,96
White-ceo_pres,50
White-coaches,20
White-gm,17
White-owners,32
White-players,89
White-staff,"1,860"
White-team_management,"2,010"
White-vp,447.0
White-league_office,669
AfricanAmerican-assistant_coaches,62
AfricanAmerican-ceo_pres,5
AfricanAmerican-coaches,8
AfricanAmerican-gm,5
AfricanAmerican-owners,1
AfricanAmerican-players,368
AfricanAmerican-staff,601
AfricanAmerican-team_management,467
AfricanAmerican-vp,87.0
AfricanAmerican-league_office,170
Latino-assistant_coaches,5
Latino-ceo_pres,1
Latino-coaches,1
Latino-gm,0
Latino-owners,0
Latino-players,12
Latino-staff,303
Latino-team_management,192
Latino-vp,27.0
Latino-league_office,72
Asian-assistant_coaches,1
Asian-ceo_pres,0
Asian-coaches,1
Asian-gm,0
Asian-owners,1
Asian-players,4
Asian-staff,107
Asian-team_management,103
Asian-vp,15.0
Asian-league_office,112
Other-assistant_coaches,3
Other-ceo_pres,0
Other-coaches,0
Other-gm,1
Other-owners,1
Other-players,19
Other-staff,136
Other-team_management,180
Other-vp,11.0
Other-league_office,49
International-players,102
