White-assistant_coaches,83
White-ceo_pres,49
White-coaches,14
White-gm,23
White-owners,53
White-players,79
White-staff,858
White-team_management,601
White-vp,285.0
White-league_office,416
AfricanAmerican-assistant_coaches,61
AfricanAmerican-ceo_pres,7
AfricanAmerican-coaches,14
AfricanAmerican-gm,7
AfricanAmerican-owners,1
AfricanAmerican-players,339
AfricanAmerican-staff,157
AfricanAmerican-team_management,99
AfricanAmerican-vp,32.0
AfricanAmerican-league_office,114
Latino-assistant_coaches,1
Latino-ceo_pres,0
Latino-coaches,1
Latino-gm,0
Latino-owners,1
Latino-players,14
Latino-staff,80
Latino-team_management,50
Latino-vp,5.0
Latino-league_office,41
Asian-assistant_coaches,1
Asian-ceo_pres,0
Asian-coaches,1
Asian-gm,1
Asian-owners,0
Asian-players,1
Asian-staff,31
Asian-team_management,12
Asian-vp,3.0
Asian-league_office,58
Other-assistant_coaches,1
Other-ceo_pres,0
Other-coaches,0
Other-gm,0
Other-owners,0
Other-players,1
Other-staff,11
Other-team_management,4
Other-vp,0.0
Other-league_office,1
International-players,73
