White-assistant_coaches,80
White-ceo_pres,51
White-coaches,16
White-gm,23
White-owners,48
White-players,87
White-staff,1556
White-team_management,508
White-vp,302.0
White-league_office,452
AfricanAmerican-assistant_coaches,64
AfricanAmerican-ceo_pres,4
AfricanAmerican-coaches,13
AfricanAmerican-gm,6
AfricanAmerican-owners,1
AfricanAmerican-players,350
AfricanAmerican-staff,338
AfricanAmerican-team_management,84
AfricanAmerican-vp,35.0
AfricanAmerican-league_office,129
Latino-assistant_coaches,1
Latino-ceo_pres,0
Latino-coaches,0
Latino-gm,0
Latino-owners,0
Latino-players,20
Latino-staff,181
Latino-team_management,24
Latino-vp,10.0
Latino-league_office,44
Asian-assistant_coaches,1
Asian-ceo_pres,0
Asian-coaches,1
Asian-gm,1
Asian-owners,0
Asian-players,1
Asian-staff,45
Asian-team_management,11
Asian-vp,2.0
Asian-league_office,76
Other-assistant_coaches,1
Other-ceo_pres,0
Other-coaches,0
Other-gm,0
Other-owners,0
Other-players,1
Other-staff,29
Other-team_management,9
Other-vp,0.0
Other-league_office,2
International-players,86
