White-assistant_coaches,83
White-ceo_pres,54
White-coaches,21
White-gm,26
White-owners,40
White-players,82
White-staff,1760
White-team_management,634
White-vp,354.0
White-league_office,547
AfricanAmerican-assistant_coaches,64
AfricanAmerican-ceo_pres,3
AfricanAmerican-coaches,8
AfricanAmerican-gm,3
AfricanAmerican-owners,1
AfricanAmerican-players,333
AfricanAmerican-staff,478
AfricanAmerican-team_management,116
AfricanAmerican-vp,55.0
AfricanAmerican-league_office,150
Latino-assistant_coaches,1
Latino-ceo_pres,0
Latino-coaches,0
Latino-gm,0
Latino-owners,0
Latino-players,28
Latino-staff,200
Latino-team_management,40
Latino-vp,13.0
Latino-league_office,62
Asian-assistant_coaches,1
Asian-ceo_pres,0
Asian-coaches,1
Asian-gm,1
Asian-owners,1
Asian-players,1
Asian-staff,103
Asian-team_management,27
Asian-vp,9.0
Asian-league_office,82
Other-assistant_coaches,0
Other-ceo_pres,0
Other-coaches,0
Other-gm,0
Other-owners,0
Other-players,4
Other-staff,51
Other-team_management,12
Other-vp,2.0
Other-league_office,5
International-players,100
