date,African,Asian,Latino,Other,White
2018,368,4,12,19,89
2017,356,3,11,19,93
2016,335,3,22,4,86
2015,333,1,28,4,82
2014,332,1,8,1,104
2013,351,1,14,1,89
2012,350,1,20,1,87
2011,339,1,14,1,79
2010,348,3,20,2,75
2009,339,3,14,4,81
2008,348,3,14,3,82
2007,343,2,15,5,89
2006,330,2,13,4,91
2005,315,2,13,5,97
2004,313,3,9,6,98
2003,311,3,5,0,91
