date,African,Asian,Latino,Other,White
2018,8,1,1,0,20
2017,6,0,1,2,21
2016,6,1,1,1,21
2015,8,1,0,0,21
2014,9,1,0,0,20
2013,12,1,0,0,17
2012,13,1,0,0,16
2011,14,1,1,0,14
2010,9,1,0,0,20
2009,8,1,0,0,21
2008,11,1,0,0,18
2007,12,0,0,0,18
2006,12,0,0,0,18
2005,11,0,0,0,19
2004,12,0,0,0,18
2003,11,0,0,0,19
2001,14,0,0,0,15
2000,10,0,0,0,19
1999,6,0,0,0,23
1998,4,0,0,0,25
1997,5,0,0,0,24
1996,7,0,0,0,22
1995,6,0,0,0,23
1994,5,0,0,0,22
1993,5,0,0,0,22
1992,7,0,0,0,20
