date,African,Asian,Latino,Other,White
2018,1,1,0,1,32
2017,1,1,0,1,32
2016,1,1,0,1,32
2015,1,1,0,0,40
2014,1,1,0,0,38
2013,1,1,0,0,34
2012,1,0,0,0,48
2011,1,0,1,0,53
2010,0,0,1,0,39
2009,0,0,1,0,49
2008,0,0,1,0,29
2007,0,0,1,0,29
2006,0,0,1,0,30
2005,0,0,1,0,27
