White-assistant_coaches,97
White-ceo_pres,23
White-coaches,18
White-gm,23
White-owners,29
White-players,89
White-staff,777
White-team_management,401
White-vp,258.0
White-league_office,541
AfricanAmerican-assistant_coaches,66
AfricanAmerican-ceo_pres,7
AfricanAmerican-coaches,12
AfricanAmerican-gm,7
AfricanAmerican-owners,0
AfricanAmerican-players,343
AfricanAmerican-staff,172
AfricanAmerican-team_management,71
AfricanAmerican-vp,32.0
AfricanAmerican-league_office,163
Latino-assistant_coaches,1
Latino-ceo_pres,0
Latino-coaches,0
Latino-gm,0
Latino-owners,1
Latino-players,15
Latino-staff,95
Latino-team_management,30
Latino-vp,9.0
Latino-league_office,59
Asian-assistant_coaches,1
Asian-ceo_pres,0
Asian-coaches,0
Asian-gm,0
Asian-owners,0
Asian-players,2
Asian-staff,27
Asian-team_management,9
Asian-vp,4.0
Asian-league_office,58
Other-assistant_coaches,1
Other-ceo_pres,0
Other-coaches,0
Other-gm,0
Other-owners,0
Other-players,5
Other-staff,4
Other-team_management,1
Other-vp,0.0
Other-league_office,1
International-players,81
