White-assistant_coaches,109
White-ceo_pres,52
White-coaches,20
White-gm,25
White-owners,38
White-players,104
White-staff,2425
White-team_management,654
White-vp,343.0
White-league_office,509
AfricanAmerican-assistant_coaches,73
AfricanAmerican-ceo_pres,4
AfricanAmerican-coaches,9
AfricanAmerican-gm,5
AfricanAmerican-owners,1
AfricanAmerican-players,332
AfricanAmerican-staff,516
AfricanAmerican-team_management,122
AfricanAmerican-vp,44.0
AfricanAmerican-league_office,142
Latino-assistant_coaches,2
Latino-ceo_pres,0
Latino-coaches,0
Latino-gm,0
Latino-owners,0
Latino-players,8
Latino-staff,214
Latino-team_management,25
Latino-vp,9.0
Latino-league_office,57
Asian-assistant_coaches,0
Asian-ceo_pres,0
Asian-coaches,1
Asian-gm,1
Asian-owners,1
Asian-players,1
Asian-staff,103
Asian-team_management,12
Asian-vp,5.0
Asian-league_office,77
Other-assistant_coaches,0
Other-ceo_pres,1
Other-coaches,0
Other-gm,0
Other-owners,0
Other-players,1
Other-staff,39
Other-team_management,5
Other-vp,4.0
Other-league_office,3
International-players,95
