White-assistant_coaches,93
White-ceo_pres,29
White-coaches,18
White-gm,22
White-owners,30
White-players,91
White-staff,818
White-team_management,377
White-vp,248.0
White-league_office,529
AfricanAmerican-assistant_coaches,63
AfricanAmerican-ceo_pres,4
AfricanAmerican-coaches,12
AfricanAmerican-gm,8
AfricanAmerican-owners,0
AfricanAmerican-players,330
AfricanAmerican-staff,165
AfricanAmerican-team_management,63
AfricanAmerican-vp,32.0
AfricanAmerican-league_office,160
Latino-assistant_coaches,1
Latino-ceo_pres,0
Latino-coaches,0
Latino-gm,0
Latino-owners,1
Latino-players,13
Latino-staff,84
Latino-team_management,24
Latino-vp,8.0
Latino-league_office,53
Asian-assistant_coaches,0
Asian-ceo_pres,0
Asian-coaches,0
Asian-gm,0
Asian-owners,0
Asian-players,2
Asian-staff,37
Asian-team_management,6
Asian-vp,4.0
Asian-league_office,53
Other-assistant_coaches,0
Other-ceo_pres,0
Other-coaches,0
Other-gm,0
Other-owners,0
Other-players,4
Other-staff,7
Other-team_management,0
Other-vp,0.0
Other-league_office,1
International-players,82
