White-assistant_coaches,45
White-coaches,22
White-gm,20
White-staff,-1
White-vp,109.0
White-league_office,251
AfricanAmerican-assistant_coaches,30
AfricanAmerican-coaches,5
AfricanAmerican-gm,9
AfricanAmerican-staff,-1
AfricanAmerican-vp,15.0
AfricanAmerican-league_office,52
Latino-assistant_coaches,0
Latino-coaches,0
Latino-gm,0
Latino-staff,-1
Latino-vp,0.0
Latino-league_office,6
Asian-assistant_coaches,0
Asian-coaches,0
Asian-gm,0
Asian-staff,-1
Asian-vp,1.0
Asian-league_office,5
Other-assistant_coaches,0
Other-coaches,0
Other-gm,0
Other-staff,-1
Other-vp,0.0
Other-league_office,1
