White-assistant_coaches,94
White-ceo_pres,55
White-coaches,21
White-gm,20
White-owners,32
White-players,93
White-staff,1736
White-team_management,1698
White-vp,435.0
White-league_office,623
AfricanAmerican-assistant_coaches,70
AfricanAmerican-ceo_pres,5
AfricanAmerican-coaches,6
AfricanAmerican-gm,3
AfricanAmerican-owners,1
AfricanAmerican-players,356
AfricanAmerican-staff,508
AfricanAmerican-team_management,390
AfricanAmerican-vp,91.0
AfricanAmerican-league_office,165
Latino-assistant_coaches,5
Latino-ceo_pres,1
Latino-coaches,1
Latino-gm,0
Latino-owners,0
Latino-players,11
Latino-staff,218
Latino-team_management,144
Latino-vp,20.0
Latino-league_office,58
Asian-assistant_coaches,2
Asian-ceo_pres,0
Asian-coaches,0
Asian-gm,1
Asian-owners,1
Asian-players,3
Asian-staff,113
Asian-team_management,106
Asian-vp,13.0
Asian-league_office,98
Other-assistant_coaches,2
Other-ceo_pres,0
Other-coaches,2
Other-gm,1
Other-owners,1
Other-players,19
Other-staff,296
Other-team_management,131
Other-vp,24.0
Other-league_office,36
International-players,96
