White-assistant_coaches,92
White-ceo_pres,30
White-coaches,21
White-gm,20
White-owners,49
White-players,81
White-staff,871
White-team_management,481
White-vp,249.0
White-league_office,496
AfricanAmerican-assistant_coaches,64
AfricanAmerican-ceo_pres,4
AfricanAmerican-coaches,8
AfricanAmerican-gm,3
AfricanAmerican-owners,0
AfricanAmerican-players,339
AfricanAmerican-staff,184
AfricanAmerican-team_management,83
AfricanAmerican-vp,32.0
AfricanAmerican-league_office,167
Latino-assistant_coaches,1
Latino-ceo_pres,0
Latino-coaches,0
Latino-gm,0
Latino-owners,1
Latino-players,14
Latino-staff,89
Latino-team_management,32
Latino-vp,6.0
Latino-league_office,56
Asian-assistant_coaches,0
Asian-ceo_pres,0
Asian-coaches,1
Asian-gm,0
Asian-owners,0
Asian-players,3
Asian-staff,32
Asian-team_management,5
Asian-vp,3.0
Asian-league_office,60
Other-assistant_coaches,0
Other-ceo_pres,0
Other-coaches,0
Other-gm,0
Other-owners,0
Other-players,4
Other-staff,7
Other-team_management,1
Other-vp,0.0
Other-league_office,1
International-players,81
