White-assistant_coaches,100
White-ceo_pres,28
White-coaches,18
White-gm,24
White-players,98
White-staff,684
White-team_management,370
White-vp,232.0
White-league_office,474
AfricanAmerican-assistant_coaches,50
AfricanAmerican-ceo_pres,3
AfricanAmerican-coaches,12
AfricanAmerican-gm,7
AfricanAmerican-players,313
AfricanAmerican-staff,112
AfricanAmerican-team_management,52
AfricanAmerican-vp,28.0
AfricanAmerican-league_office,127
Latino-assistant_coaches,0
Latino-ceo_pres,0
Latino-coaches,0
Latino-gm,0
Latino-players,9
Latino-staff,60
Latino-team_management,15
Latino-vp,6.0
Latino-league_office,48
Asian-assistant_coaches,1
Asian-ceo_pres,0
Asian-coaches,0
Asian-gm,0
Asian-players,3
Asian-staff,25
Asian-team_management,6
Asian-vp,3.0
Asian-league_office,44
Other-assistant_coaches,0
Other-ceo_pres,0
Other-coaches,0
Other-gm,0
Other-players,6
Other-staff,3
Other-team_management,0
Other-vp,0.0
Other-league_office,1
International-players,81
