White-assistant_coaches,96
White-ceo_pres,28
White-coaches,19
White-gm,24
White-owners,27
White-players,97
White-staff,672
White-team_management,367
White-vp,252.0
White-league_office,492
AfricanAmerican-assistant_coaches,59
AfricanAmerican-ceo_pres,4
AfricanAmerican-coaches,11
AfricanAmerican-gm,7
AfricanAmerican-owners,0
AfricanAmerican-players,315
AfricanAmerican-staff,130
AfricanAmerican-team_management,58
AfricanAmerican-vp,24.0
AfricanAmerican-league_office,143
Latino-assistant_coaches,1
Latino-ceo_pres,0
Latino-coaches,0
Latino-gm,0
Latino-owners,1
Latino-players,13
Latino-staff,76
Latino-team_management,25
Latino-vp,8.0
Latino-league_office,52
Asian-assistant_coaches,0
Asian-ceo_pres,0
Asian-coaches,0
Asian-gm,0
Asian-owners,0
Asian-players,2
Asian-staff,28
Asian-team_management,7
Asian-vp,4.0
Asian-league_office,46
Other-assistant_coaches,0
Other-ceo_pres,0
Other-coaches,0
Other-gm,0
Other-owners,0
Other-players,5
Other-staff,5
Other-team_management,0
Other-vp,0.0
Other-league_office,1
International-players,82
