Coach,Team,Year(s),Record
Tyrone Corbin,Utah,2010-2014,112-150
Michael Cooper,Denver,2004,4-10
Bill Berry,Chicago,2001-02,0-2
Kaleb Canales,Portland,2012,8-15
Brian Shaw,Denver,2013-2015,56-85
Jacque Vaughn,Orlando,2012-2015,58-158
Melvin Hunt,Denver,2015,10-13
Jason Kidd,Brooklyn,2013-2014,44-38
Jason Kidd,Milwaukee,2014-2018,139-152
Tyronn Lue,Cleveland,2016-Present,128-77
Lloyd Pierce,Atlanta,2018-Present,29-53
